date,draw1,draw2,draw3,draw4,draw5,powerball
2016-06-29 00:00:00 -0400,23,29,37,60,64,6
2016-06-25 00:00:00 -0400,3,27,36,56,69,25
2016-06-22 00:00:00 -0400,14,40,42,43,52,17
2016-06-18 00:00:00 -0400,2,23,41,53,63,11
2016-06-15 00:00:00 -0400,4,22,24,31,33,10
2016-06-11 00:00:00 -0400,20,27,36,41,58,7
2016-06-08 00:00:00 -0400,12,25,37,60,69,20
2016-06-04 00:00:00 -0400,16,20,22,43,64,17
2016-06-01 00:00:00 -0400,23,30,33,40,69,12
2016-05-28 00:00:00 -0400,6,33,34,58,59,12
2016-05-25 00:00:00 -0400,11,24,41,59,64,15
2016-05-21 00:00:00 -0400,5,7,9,23,32,26
2016-05-18 00:00:00 -0400,23,25,39,54,67,11
2016-05-14 00:00:00 -0400,13,27,47,64,65,9
2016-05-11 00:00:00 -0400,20,32,52,66,69,23
2016-05-07 00:00:00 -0400,5,25,26,44,66,9
2016-05-04 00:00:00 -0400,30,47,57,66,69,3
2016-04-30 00:00:00 -0400,3,12,16,32,34,14
2016-04-27 00:00:00 -0400,2,25,33,39,64,17
2016-04-23 00:00:00 -0400,19,35,46,59,62,13
2016-04-20 00:00:00 -0400,12,25,30,52,62,8
2016-04-16 00:00:00 -0400,3,18,25,32,51,3
2016-04-13 00:00:00 -0400,30,33,35,38,64,22
2016-04-09 00:00:00 -0400,14,22,23,41,61,9
2016-04-06 00:00:00 -0400,4,28,49,60,65,25
2016-04-02 00:00:00 -0400,9,28,30,40,61,3
2016-03-30 00:00:00 -0400,24,44,53,55,63,19
2016-03-26 00:00:00 -0400,11,23,42,52,68,6
2016-03-23 00:00:00 -0400,5,8,15,22,49,25
2016-03-19 00:00:00 -0400,11,23,43,54,60,3
2016-03-16 00:00:00 -0400,10,12,13,46,50,21
2016-03-12 00:00:00 -0500,11,28,50,57,62,23
2016-03-09 00:00:00 -0500,14,23,32,34,68,3
2016-03-05 00:00:00 -0500,3,27,34,59,69,19
2016-03-02 00:00:00 -0500,12,13,44,52,62,6
2016-02-27 00:00:00 -0500,10,11,21,22,53,18
2016-02-24 00:00:00 -0500,21,31,64,65,67,5
2016-02-20 00:00:00 -0500,11,12,15,16,54,25
2016-02-17 00:00:00 -0500,7,17,27,29,40,25
2016-02-13 00:00:00 -0500,7,15,18,19,36,20
2016-02-10 00:00:00 -0500,2,3,40,50,62,5
2016-02-06 00:00:00 -0500,4,13,31,36,52,8
2016-02-03 00:00:00 -0500,26,28,31,60,67,23
2016-01-30 00:00:00 -0500,5,12,16,31,43,18
2016-01-27 00:00:00 -0500,3,12,40,52,67,21
2016-01-23 00:00:00 -0500,22,32,34,40,69,19
2016-01-20 00:00:00 -0500,5,39,44,47,69,24
2016-01-16 00:00:00 -0500,3,51,52,61,64,6
2016-01-13 00:00:00 -0500,4,8,19,27,34,10
2016-01-09 00:00:00 -0500,16,19,32,34,57,13
2016-01-06 00:00:00 -0500,2,11,47,62,63,17
2016-01-02 00:00:00 -0500,5,6,15,29,42,10
2015-12-30 00:00:00 -0500,12,36,38,54,61,22
2015-12-26 00:00:00 -0500,27,40,44,59,65,20
2015-12-23 00:00:00 -0500,16,38,55,63,67,25
2015-12-19 00:00:00 -0500,28,30,41,59,68,10
2015-12-16 00:00:00 -0500,9,10,32,42,55,6
2015-12-12 00:00:00 -0500,2,14,19,30,62,22
2015-12-09 00:00:00 -0500,7,10,16,46,56,1
2015-12-05 00:00:00 -0500,13,27,33,47,68,13
2015-12-02 00:00:00 -0500,14,18,19,32,64,9
2015-11-28 00:00:00 -0500,2,6,47,66,67,2
2015-11-25 00:00:00 -0500,16,29,53,58,69,21
2015-11-21 00:00:00 -0500,37,47,50,52,57,21
2015-11-18 00:00:00 -0500,17,40,41,46,69,6
2015-11-14 00:00:00 -0500,14,22,37,45,66,5
2015-11-11 00:00:00 -0500,4,26,32,55,64,18
2015-11-07 00:00:00 -0500,7,16,25,50,53,15
2015-11-04 00:00:00 -0500,2,12,17,20,65,17
2015-10-31 00:00:00 -0400,9,20,25,47,68,7
2015-10-28 00:00:00 -0400,4,54,56,62,63,10
2015-10-24 00:00:00 -0400,20,31,56,60,64,2
2015-10-21 00:00:00 -0400,30,32,42,56,57,11
2015-10-17 00:00:00 -0400,48,49,57,62,69,19
2015-10-14 00:00:00 -0400,15,20,29,31,40,1
2015-10-10 00:00:00 -0400,12,27,29,43,68,1
2015-10-07 00:00:00 -0400,18,30,40,48,52,9
2015-10-03 00:00:00 -0400,6,26,33,44,46,4
2015-09-30 00:00:00 -0400,21,39,40,55,59,17
2015-09-26 00:00:00 -0400,23,31,42,50,57,5
2015-09-23 00:00:00 -0400,8,29,41,51,58,5
2015-09-19 00:00:00 -0400,12,17,26,43,48,24
2015-09-16 00:00:00 -0400,5,7,24,31,39,7
2015-09-12 00:00:00 -0400,2,3,13,16,35,27
2015-09-09 00:00:00 -0400,44,45,47,50,51,8
2015-09-05 00:00:00 -0400,10,16,18,29,45,19
2015-09-02 00:00:00 -0400,17,22,30,46,56,16
2015-08-29 00:00:00 -0400,18,21,25,28,29,16
2015-08-26 00:00:00 -0400,2,22,32,45,56,12
2015-08-22 00:00:00 -0400,4,12,14,21,55,7
2015-08-19 00:00:00 -0400,6,8,43,48,50,7
2015-08-15 00:00:00 -0400,3,13,17,42,52,24
2015-08-12 00:00:00 -0400,8,13,29,38,52,28
2015-08-08 00:00:00 -0400,9,34,48,52,54,15
2015-08-05 00:00:00 -0400,9,11,14,16,42,19
2015-08-01 00:00:00 -0400,7,13,24,49,57,15
2015-07-29 00:00:00 -0400,4,22,27,28,52,35
2015-07-25 00:00:00 -0400,27,29,34,41,44,2
2015-07-22 00:00:00 -0400,12,31,43,44,57,11
2015-07-18 00:00:00 -0400,6,37,39,45,55,33
2015-07-15 00:00:00 -0400,13,16,34,45,50,11
2015-07-11 00:00:00 -0400,11,39,46,52,54,3
2015-07-08 00:00:00 -0400,4,15,25,27,30,18
2015-07-04 00:00:00 -0400,3,6,14,18,24,21
2015-07-01 00:00:00 -0400,7,24,26,31,41,25
2015-06-27 00:00:00 -0400,18,28,35,46,49,27
2015-06-24 00:00:00 -0400,3,5,10,22,32,7
2015-06-20 00:00:00 -0400,9,10,16,20,57,15
2015-06-17 00:00:00 -0400,20,21,22,41,54,7
2015-06-13 00:00:00 -0400,29,41,48,52,54,29
2015-06-10 00:00:00 -0400,31,32,48,49,53,25
2015-06-06 00:00:00 -0400,8,13,18,27,43,15
2015-06-03 00:00:00 -0400,6,8,13,37,40,11
2015-05-30 00:00:00 -0400,8,9,25,56,57,22
2015-05-27 00:00:00 -0400,8,15,34,53,59,23
2015-05-23 00:00:00 -0400,9,15,17,31,43,16
2015-05-20 00:00:00 -0400,1,12,28,35,44,25
2015-05-16 00:00:00 -0400,24,29,38,48,52,32
2015-05-13 00:00:00 -0400,1,25,29,31,47,7
2015-05-09 00:00:00 -0400,4,15,17,35,58,17
2015-05-06 00:00:00 -0400,23,24,27,39,41,30
2015-05-02 00:00:00 -0400,2,6,11,30,31,33
2015-04-29 00:00:00 -0400,1,26,34,38,51,6
2015-04-25 00:00:00 -0400,21,33,35,38,45,12
2015-04-22 00:00:00 -0400,10,14,25,39,53,18
2015-04-18 00:00:00 -0400,13,22,23,29,31,17
2015-04-15 00:00:00 -0400,1,16,21,29,40,30
2015-04-11 00:00:00 -0400,1,12,32,42,58,12
2015-04-08 00:00:00 -0400,1,19,45,46,58,29
2015-04-04 00:00:00 -0400,33,39,40,41,54,28
2015-04-01 00:00:00 -0400,2,30,33,39,44,1
2015-03-28 00:00:00 -0400,2,4,6,12,38,17
2015-03-25 00:00:00 -0400,7,19,23,50,54,14
2015-03-21 00:00:00 -0400,11,16,30,38,42,7
2015-03-18 00:00:00 -0400,14,25,30,33,47,8
2015-03-14 00:00:00 -0400,8,14,39,46,47,18
2015-03-11 00:00:00 -0400,11,24,31,40,44,27
2015-03-07 00:00:00 -0500,34,36,38,42,50,33
2015-03-04 00:00:00 -0500,8,12,15,35,50,32
2015-02-28 00:00:00 -0500,11,17,25,28,46,12
2015-02-25 00:00:00 -0500,17,19,21,32,39,8
2015-02-21 00:00:00 -0500,10,14,18,34,51,26
2015-02-18 00:00:00 -0500,1,9,29,32,49,22
2015-02-14 00:00:00 -0500,1,24,44,45,51,28
2015-02-11 00:00:00 -0500,11,13,25,39,54,19
2015-02-07 00:00:00 -0500,5,10,21,34,58,33
2015-02-04 00:00:00 -0500,24,36,51,52,56,22
2015-01-31 00:00:00 -0500,5,11,16,26,50,34
2015-01-28 00:00:00 -0500,12,24,35,36,49,1
2015-01-24 00:00:00 -0500,16,19,20,29,33,10
2015-01-21 00:00:00 -0500,11,12,15,28,57,23
2015-01-17 00:00:00 -0500,15,16,23,27,36,9
2015-01-14 00:00:00 -0500,2,4,10,41,53,22
2015-01-10 00:00:00 -0500,2,9,19,28,29,19
2015-01-07 00:00:00 -0500,14,15,47,49,59,10
